stop_id,route_id,n_departures,avg_headway
200412031,275,16,7.5
200413001,271,12,10.0
200414001,262,16,7.5
200414001,279,16,7.5
200414001,2987,1,120.0
200414002,279,16,7.5
200414002,2987,1,120.0
200414003,1947,8,15.0
200414003,262,16,7.5
200414003,279,16,7.5
200414003,2987,1,120.0
200414004,262,16,7.5
200414004,279,16,7.5
200414004,2987,1,120.0
200414005,279,16,7.5
200414005,2987,1,120.0
200414006,1947,8,15.0
200414006,262,16,7.5
200414006,279,16,7.5
200414006,366,4,30.0
200414007,1947,8,15.0
200414007,262,16,7.5
200414007,279,16,7.5
200414007,2987,1,120.0
200414008,262,16,7.5
200414008,279,16,7.5
200414008,2987,1,120.0
200414010,262,16,7.5
200414010,2978,1,120.0
200414010,2988,1,120.0
200414011,1947,8,15.0
200414011,262,16,7.5
200414011,366,4,30.0
200414013,262,16,7.5
200415001,262,16,7.5
200415002,1823,1,120.0
200415002,1947,8,15.0
200415002,261,16,7.5
200415002,272,16,7.5
200415002,274,8,15.0
200415002,2980,1,120.0
200415002,2989,2,60.0
200415003,1947,8,15.0
200415003,257,17,7.0588235294117645
200415003,261,16,7.5
200415003,268,13,9.23076923076923
200415003,270,25,4.8
200415003,274,8,15.0
200415003,2979,1,120.0
200415003,2989,2,60.0
200415004,1823,1,120.0
200415004,265,12,10.0
200415005,264,31,3.870967741935484
200415006,1947,4,30.0
200415006,257,17,7.0588235294117645
200415006,261,8,15.0
200415006,268,12,10.0
200415006,270,25,4.8
200415006,274,4,30.0
200415006,2989,2,60.0
200415008,262,16,7.5
200415009,257,17,7.0588235294117645
200415009,262,16,7.5
200415009,264,30,4.0
200415009,270,24,5.0
200415009,272,16,7.5
200415011,262,8,15.0
200415012,257,9,13.333333333333334
200415012,268,6,20.0
200415012,270,12,10.0
200415013,262,16,7.5
200415016,268,7,17.142857142857142
200415016,270,13,9.23076923076923
200415017,257,17,7.0588235294117645
200415017,264,30,4.0
200415017,270,25,4.8
200415017,272,16,7.5
200416002,1967,25,4.8
200417001,1968,12,10.0
200417001,2601,8,15.0
200417002,269,8,15.0
200417002,366,4,30.0
200417004,259,12,10.0
200417004,263,8,15.0
200417004,269,8,15.0
200417004,2977,1,120.0
200417005,2601,8,15.0
200417005,263,8,15.0
200417005,265,12,10.0
200417005,269,8,15.0
200417005,276,8,15.0
200417005,2977,1,120.0
200417005,366,4,30.0
200417007,263,8,15.0
